country,Code,year,Mortality_rate,GDP,Adolescent_fertility_rate,happiness_level
Denmark,DNK,2010,0.40999999,2.84E+11,5.022,Level：1
Djibouti,DJI,2010,7.659999847,,24.833,Level：5
Dominica,DMA,2010,2.460000038,544369600,45.981,Level：4
Dominican Republic,DOM,2010,3.509999847,55959425024,109.433,Level：4
Ecuador,ECU,2010,1.9,79915229184,91.858,Level：3
Egypt,EGY,2010,2.870000076,2.88E+11,58.306,Level：4
El Salvador,SLV,2010,1.939999962,20622815232,70.912,Level：3
Equatorial Guinea,GNQ,2010,11.11999969,13061295104,171.755,Level：6
Eritrea,ERI,2010,5.509999847,2073049728,74.322,Level：5
Estonia,EST,2010,0.45999999,19420680192,19.482,Level：1
Eswatini,SWZ,2010,8.55,3518702848,83.316,Level：5
Ethiopia,ETH,2010,8.2,39727091712,100.744,Level：5
Fiji,FJI,2010,2.360000038,3889692672,40.87,Level：4
Finland,FIN,2010,0.3,2.34E+11,8.295,Level：1
France,FRA,2010,0.419999981,2.32E+12,10.668,Level：1
Gabon,GAB,2010,6.170000076,11147388928,111.716,Level：5
Gambia,GMB,2010,7.359999847,1350595840,94.637,Level：5
Georgia,GEO,2010,1.419999981,11741494272,56.836,Level：3
Germany,DEU,2010,0.419999981,3.09E+12,9.687,Level：1
Ghana,GHA,2010,6.909999847,35165253632,68.709,Level：5
Greece,GRC,2010,0.39000001,2.40E+11,10.453,Level：1
Grenada,GRD,2010,1.510000038,855943872,39.433,Level：3
Guatemala,GTM,2010,3.479999924,51426570240,89.008,Level：4
Guinea,GIN,2010,11.76999969,7025019904,146.808,Level：6
Guinea-Bissau,GNB,2010,11.45,891775808,111.733,Level：6
Guyana,GUY,2010,3.740000153,3632810496,80.478,Level：4
Haiti,HTI,2010,20.36000061,12902332416,62.688,Level：7
Honduras,HND,2010,2.329999924,17516607488,89.482,Level：4
Hungary,HUN,2010,0.6,1.13E+11,18.6,Level：2
Iceland,ISL,2010,0.270000005,15327572992,12.881,Level：1
India,IND,2010,5.820000076,1.54E+12,39.222,Level：5
Indonesia,IDN,2010,3.379999924,6.58E+11,45.847,Level：4
Iran,IRN,2010,1.929999924,3.93E+11,34.998,Level：3
Iraq,IRQ,2010,3.490000153,1.21E+11,83.902,Level：4
Ireland,IRL,2010,0.419999981,2.09E+11,14.665,Level：1
Israel,ISR,2010,0.45999999,2.48E+11,13.367,Level：1
Italy,ITA,2010,0.4,1.90E+12,6.867,Level：1
Jamaica,JAM,2010,1.8,13739175936,52.838,Level：3
Japan,JPN,2010,0.320000005,4.22E+12,4.561,Level：1
Jordan,JOR,2010,2.010000038,33723826176,36.014,Level：4
Kazakhstan,KAZ,2010,2.039999962,1.47E+11,29.575,Level：4
Kenya,KEN,2010,5.740000153,55748902912,101.767,Level：5
Kiribati,KIR,2010,6.440000153,140781488,44.653,Level：5
Kuwait,KWT,2010,1.039999962,95846137856,12.334,Level：3
Kyrgyzstan,KGZ,2010,2.95,5263492608,37.584,Level：4
Laos,LAO,2010,6.830000305,9912449024,89.213,Level：5
Latvia,LVA,2010,0.780000019,22996918272,18.227,Level：2
Lebanon,LBN,2010,1.019999981,45248720896,21.467,Level：3
Lesotho,LSO,2010,9.640000153,1986757248,84.065,Level：5
Liberia,LBR,2010,9.980000305,2523750144,146.546,Level：5
Libya,LBY,2010,1.660000038,54977400832,5.986,Level：3
Lithuania,LTU,2010,0.6,34401357824,14.37,Level：2
Luxembourg,LUX,2010,0.279999995,54012829696,7.353,Level：1
Madagascar,MDG,2010,6.930000305,9925207040,141.136,Level：5
Malawi,MWI,2010,8.419999695,5218860544,142.439,Level：5
Malaysia,MYS,2010,0.810000038,2.33E+11,13.932,Level：2
Maldives,MDV,2010,1.389999962,3116691968,18.152,Level：3
Mali,MLI,2010,13.03000031,11009110016,172.594,Level：6
Malta,MLT,2010,0.669999981,8521308672,17.938,Level：2
Marshall Islands,MHL,2010,3.9,180807392,81.151,Level：4
Mauritania,MRT,2010,9.559999847,4951454208,91.664,Level：5
Mauritius,MUS,2010,1.45,9775428608,32.053,Level：3
Mexico,MEX,2010,1.920000076,1.01E+12,75.329,Level：3
Micronesia (country),FSM,2010,3.309999847,317470528,40.525,Level：4
Moldova,MDA,2010,1.710000038,6452461056,31.394,Level：3
Monaco,MCO,2010,0.4,4703735808,8.755,Level：1
Mongolia,MNG,2010,2.629999924,7152385536,21.358,Level：4
Montenegro,MNE,2010,0.669999981,3703881472,16.632,Level：2
Morocco,MAR,2010,3.120000076,83183640576,30.218,Level：4
Mozambique,MOZ,2010,10.49000015,11292434432,163.631,Level：6
Myanmar,MMR,2010,6.370000076,45669363712,34.88,Level：5
Namibia,NAM,2010,4.909999847,8787651584,76.979,Level：4
Nauru,NRU,2010,3.75,41204600,77.586,Level：4
Nepal,NPL,2010,4.590000153,19764531200,78.3,Level：4
Netherlands,NLD,2010,0.44000001,7.38E+11,5.174,Level：1
New Zealand,NZL,2010,0.60999999,1.54E+11,29.546,Level：2
Nicaragua,NIC,2010,2.389999962,9778809856,97.947,Level：4
Niger,NER,2010,12.19000015,7299346432,189.555,Level：6
Nigeria,NGA,2010,13.55,3.81E+11,123.402,Level：6
North Korea,PRK,2010,2.95,,1.281,Level：4
North Macedonia,MKD,2010,1.039999962,8918643712,20.257,Level：3
Norway,NOR,2010,0.329999995,3.54E+11,8.388,Level：1
Oman,OMN,2010,1.169999981,62776156160,14.944,Level：3
Pakistan,PAK,2010,8.709999847,2.22E+11,54.134,Level：5
Palau,PLW,2010,2.310000038,234129904,32.247,Level：4
Palestine,PSE,2010,2.210000038,11082399744,54.871,Level：4
Panama,PAN,2010,1.989999962,37273325568,91.622,Level：3
Papua New Guinea,PNG,2010,5.790000153,16339698688,69.098,Level：5
Paraguay,PRY,2010,2.620000076,29786034176,76.263,Level：4
Peru,PER,2010,1.979999924,1.50E+11,64.919,Level：3
Philippines,PHL,2010,3.170000076,2.29E+11,61.355,Level：4
Poland,POL,2010,0.6,4.13E+11,15.979,Level：2
Portugal,PRT,2010,0.379999995,2.08E+11,14.358,Level：1
Qatar,QAT,2010,0.910000038,1.17E+11,17.157,Level：2
Romania,ROU,2010,1.239999962,1.54E+11,41.957,Level：3
Russia,RUS,2010,1.039999962,1.25E+12,30.579,Level：3
Rwanda,RWA,2010,6.379999924,6015645696,43.257,Level：5
Saint Kitts and Nevis,KNA,2010,1.75,819370880,46.161,Level：3
Saint Lucia,LCA,2010,1.970000076,1767216000,40.43,Level：3
Saint Vincent and the Grenadines,VCT,2010,1.979999924,716440640,65.682,Level：3
Samoa,WSM,2010,1.929999924,758822272,44.112,Level：3
San Marino,SMR,2010,0.29000001,1652603264,4.684,Level：1
Sao Tome and Principe,STP,2010,3.609999847,252936032,119.117,Level：4
Saudi Arabia,SAU,2010,1.230000019,5.09E+11,13.677,Level：3
Senegal,SEN,2010,6.569999695,14575382528,81.803,Level：5
Serbia,SRB,2010,0.75999999,37959856128,20.207,Level：2
Seychelles,SYC,2010,1.410000038,1084506112,59.203,Level：3
Sierra Leone,SLE,2010,16.06000061,3437630720,137.667,Level：6
Singapore,SGP,2010,0.279999995,2.47E+11,5.02,Level：1
Slovakia,SVK,2010,0.7,78318051328,23.067,Level：2
Slovenia,SVN,2010,0.320000005,42226601984,5.319,Level：1
Solomon Islands,SLB,2010,2.639999962,1108154880,63.603,Level：4
Somalia,SOM,2010,15.73999939,,130.861,Level：6
South Africa,ZAF,2010,5.2,3.12E+11,67.824,Level：5
South Korea,KOR,2010,0.40999999,1.26E+12,2.789,Level：1
South Sudan,SSD,2010,10.84000015,22367647744,111.497,Level：6
Spain,ESP,2010,0.379999995,1.20E+12,10.888,Level：1
Sri Lanka,LKA,2010,1.139999962,59780042752,23.3,Level：3
Sudan,SDN,2010,7.569999695,59215298560,99.723,Level：5
Suriname,SUR,2010,2.310000038,4731441152,64.169,Level：4
Sweden,SWE,2010,0.30999999,4.54E+11,6.263,Level：1
Switzerland,CHE,2010,0.45999999,6.42E+11,4.083,Level：1
Syria,SYR,2010,1.889999962,34016657408,48.556,Level：3
Tajikistan,TJK,2010,4.270000076,5897861632,48.483,Level：4
Tanzania,TZA,2010,7.190000153,34802102272,119.387,Level：5
